====================
school  |  Школа №17
pub  |  O’Brien’s
pub  |  Максимум
post_office  |  Київ 14
post_office  |  Поштове відділення №192
cafe  |  Алібі
pharmacy  |  Фалби
atm  |  Альфа-Банк
pharmacy  |  Велика Аптека
fast_food  |  McDonald's
fuel  |  БРСМ
fast_food  |  "Їдальня"
bank  |  Ukrsibbank
cinema  |  Братислава
fuel  |  AMIC Energy
fuel  |  УкрАВТО
bank  |  ПриватБанк
pharmacy  |  Biokon
fuel  |  ОККО
fuel  |  WOG
fuel  |  Motto
fuel  |  УкрАвто
pharmacy  |  24h
bank  |  Райффайзен Банк
pharmacy  |  Аптека доброго дня
drinking_water  |  Бювет
place_of_worship  |  Парафія на честь Свт. Спиридона еп. Триміфунтського
cafe  |  Шинок
restaurant  |  Черноморка
post_office  |  ВПЗ Київ 68
clinic  |  Інститут ядерної медицини та центр променевої діагностики
bank  |  KredoBank
pharmacy  |  Міровая
pub  |  Beer Pong Bar
pub  |  Гарден
pub  |  Клуб Ніка
bank  |  VAB
bank  |  Укргазбанк
bank  |  УкрСиббанк
doctors  |  Поліклініка
bank  |  Cбербанк Росії
fast_food  |  Піцерія №3
university  |  Інститут філософії
clinic  |  st. Pantelejmon's
fast_food  |  Челентано
fast_food  |  Дрова
fast_food  |  Смачна Картопля
restaurant  |  Ой, мамо
post_office  |  Київ 32
restaurant  |  Паштет
post_office  |  Укрпошта 03150
restaurant  |  Бабене
cinema  |  Планета Кіно IMAX
pharmacy  |  Аптека TAS
arts_centre  |  Центр пам'яткознавства
place_of_worship  |  Малярна вежа
restaurant  |  Зерно Гірчиці
restaurant  |  Царське село
restaurant  |  Галина
atm  |  ПриватБанк
pharmacy  |  Наша Аптека
atm  |  Фінанси та Кредит
atm  |  Індекс Банк
fuel  |  Shell
pharmacy  |  Пані Аптека
cafe  |  Чердак
fast_food  |  СупХаус
clinic  |  Крапля Роси
pharmacy  |  ДЦ
cafe  |  Віденські булочки
atm  |  Райффайзен Банк
restaurant  |  Кловський
bank  |  Правекс Банк
restaurant  |  Izumi
bank  |  Райффайзен Банк
bank  |  OTP Банк
bank  |  Райффайзен Банк
fast_food  |  Два Гуся
clinic  |  Дитяча поліклініка №1 Дарницького району
atm  |  ПриватБанк
cafe  |  Lviv Croissants
restaurant  |  Pesto Cafe
atm  |  OTPbank
bank  |  Укринбанк
restaurant  |  Argentina Grill
cinema  |  Промінь
kindergarten  |  Дитячий садок №248 «Журавлик»
post_office  |  ВПЗ Київ 121
fast_food  |  McDonald's
cafe  |  Каффа
fuel  |  БРСМ-Нафта
cafe  |  Pesto cafe
cinema  |  Лінія кіно
pub  |  OldBar
fuel  |  БРСМ
library  |  Дитяча бібліотека
restaurant  |  Корчма "Хліб і сіль"
bar  |  Мохнатий Хміль
fuel  |  Shell
bank  |  Credit agricole
pharmacy  |  АНЦ
bank  |  ПриватБанк
restaurant  |  Pino pizza
dentist  |  Oleta
fast_food  |  Domino's
bank  |  ПУМБ
fast_food  |  Пузата Хата
restaurant  |  Марані
theatre  |  Новий театр на Печерську
restaurant  |  Черноморка
post_office  |  03124
post_office  |  ВПЗ Київ 110
cafe  |  Café des fleurs
cafe  |  Aroma Kava
restaurant  |  Mon Cher
bank  |  КредитПромБанк
dentist  |  32 Перлини
bank  |  Артем Банк
restaurant  |  Mille Miglia
bar  |  K-Largo
pharmacy  |  Фармавит
restaurant  |  Мама Манана
cafe  |  Пиццерия Paparazzi
bank  |  Піреус Банк
bank  |  ING
bank  |  Правекс
place_of_worship  |  Храм Св. Марії Магдалини
cafe  |  Bassano
library  |  Бібліотека для дітей імені Василя Симоненка
bank  |  УкрСиббанк
bank  |  ING
pharmacy  |  Watsons
bar  |  Like a local`s
pub  |  Пиво Бар
post_office  |  Відділення №39
pub  |  Dorothy
bar  |  Par Bar
studio  |  Перший Музикальний Альтернативний канал
restaurant  |  Pacific
restaurant  |  Марио
clinic  |  Клініка «Літус»
bank  |  Старокиївський
cafe  |  News
dentist  |  Stedley
bank  |  Правекс Банк
restaurant  |  Da Mario
atm  |  Monobank
post_office  |  Київ 33
pharmacy  |  Ян
bank  |  ПриватБанк
bank  |  Ощадбанк
post_office  |  Укрпошта
library  |  Бібліотека ім. А. Міцкевича
bank  |  Перше кредитне товариство
bank  |  Ukrsibbank
