====================
post_office  |  Shin-Matsudo Post Office
fuel  |  Kygnus
place_of_worship  |  Chapel of Adoration
fuel  |  Eneos
fuel  |  Shell
fast_food  |  Freshness Burger
car_rental  |  Autobacs Nakameguro
parking  |  Kasamori Kannnon (笠森観音)
post_office  |  緑郵便局
post_office  |  Imai Post Office
bank  |  京葉銀行蘇我支店
bank  |  千葉銀行蘇我支店
public_bath  |  スーパー銭湯；白旗
doctors  |  柏木産婦人科内科医院
public_bath  |  湯快爽快みはま店
sento  |  若葉の湯
bank  |  みずほ銀行さいたま新都心出張所
fast_food  |  マクドナルド
cafe  |  スターバックス
public_bath  |  Ichihara Onsen Yuranosato (湯楽の里)
cafe  |  タリーズコーヒー
social_insurance_office  |  社会保険事務所
registory  |  法務局
theatre  |  東京宝塚劇場
theatre  |  日生劇場
fast_food  |  McDonald's
police  |  千葉駅前交番
fast_food  |  マクドナルド
atm  |  みずほ銀行
car_rental  |  日産レンタカー
bank  |  京葉銀行
place_of_worship  |  長寿寺 (Chōjuji Temple)
post_office  |  中央豊海郵便局
restaurant  |  デニーズ
fast_food  |  マクドナルド
ferry_terminal  |  Tokyo Port Ferry Terminal
bank  |  みずほ銀行
place_of_worship  |  寺
restaurant  |  新城　四国うどん
place_of_worship  |  笠森観音
restaurant  |  ジョリーパスタ
hospital  |  Kawatetsu Hospital
Trunk Service  |  スペースバンク
restaurant  |  餃子の王将
restaurant  |  中国料理龍園
public_bath  |  梅開湯
restaurant  |  千石食堂
place_of_worship  |  今井神社
doctors  |  そがこどもクリニック
doctors  |  鷲見医院
parking  |  Shinagawa Parking Access
restaurant  |  けいすけラーメン
restaurant  |  つばめグリル
place_of_worship  |  延命寺 (Enmeiji Temple)
parking  |  タイムズ由比ガ浜
parking  |  カネ石駐車場
place_of_worship  |  富士和教会
sento  |  清水湯
place_of_worship  |  哲運寺
place_of_worship  |  向福寺
doctors  |  材木座診療所
place_of_worship  |  実相寺
dentist  |  材木座歯科クリニック
public_building  |  材木座公会堂
place_of_worship  |  光明寺
toilets  |  由比ガ浜海岸滑川
fuel  |  湘南菱油（株） ガソリンスタンド鎌倉営業所
place_of_worship  |  海蔵寺 (Kaizou-ji Temple)
parking  |  海蔵寺駐車場 (Kaizou-ji Temple Parking Lot)
college  |  山野美容芸術短期大学 (Yamano College of Aesthetics)
university  |  東京薬科大学 (Tokyo University of Phamacy and Life Sciences)
townhall  |  稲城市役所 (Inagi city office)
fuel  |  JOMO
restaurant  |  柿乃木 (Kakinoki)
toilets  |  八王子滝山
fuel  |  ゼネラル石油
fuel  |  unknown
fuel  |  unknown
restaurant  |  とんでん
fast_food  |  マクドナルド
parking  |  No4B parking
fuel  |  昭和シェル
restaurant  |  Jolly-Pasta
fuel  |  出光
university  |  慶應義塾大学 湘南藤沢キャンパス
fuel  |  Esso
fuel  |  コスモ石油
fuel  |  出光
fuel  |  Mobil
fast_food  |  モスバーガー
fuel  |  ENEOS
fuel  |  ENEOS
fast_food  |  MOS burger
college  |  創価女子短期大学 (Soka Women's College)
college  |  東京純心女子大学 (Tokyo Junshin Women's College)
university  |  明星大学
