====================
getFeatureName(i) getFeatureType(i)
Forbidden City Moat | lake
Waijinshui River | stream
National Centre for the Performing Arts | building
Jade Island | island
湖心岛 | island
<noname> | stream
<noname> | stream
万泉河 | stream
建国门健身乐园 | park
Ritan Park | park
Jing-Mi Waterduct | stream
<noname> | lake
<noname> | building
Temple of Earth Park | park
Grand View Garden | park
Duanmen | building
Zhengyangmen | building
<noname> | building
China Railway Museum(Dongjiao Site) | building
Giant Panda House | building
New Panda House | building
Beijing Aquarium | building
Elephant House | building
Hippo & Rhino House | building
African Animal Zone | building
Giraffe House | building
Golden Monkey Hall | building
Marmoset Building | building
Chang Guan Building | building
Mandrill House | building
China Banknote Printing and Minting Corporation | building
Penguin & Bat Area | building
Amphibian & Reptile House | building
<noname> | building
<noname> | building
陆莫克堂 | building
<noname> | stream
<noname> | stream
黑石头沟 | stream
<noname> | stream
Beijing International Convention Center | building
国奥体育馆 | building
英东游泳馆 | building
North Star Shopping Center | building
Dascom Building | building
Ying Chuang Dong Li | building
Wang Yv Lou | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Diamond Building | building
Nan Ma Chang Reservoir | lake
Xiang Shan Watch Tower | building
<noname> | stream
Lotus River | stream
IBM China Software Development Lab (Ring Building) | building
<noname> | lake
Shangdi Park | park
Shouhuang Gate | building
Shouhuang Palace | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
East Entrance | building
Pavilion of Everlasting Spring (Wanchun-ting) | building
Qiwang Tower | building
South Entrance | building
West Entrance | building
<noname> | building
<noname> | park
<noname> | lake
<noname> | stream
<noname> | lake
<noname> | lake
<noname> | building
<noname> | lake
Houhai Park | park
Building 14, Xierqi Mingkeyuan | building
Building 13 | building
Building 12 | building
<noname> | building
沙沟河 | stream
葫芦河 | stream
<noname> | stream
三星庄后河 | stream
<noname> | stream
东埠头排洪渠 | stream
万集空间大厦 | building
腾飞高科岭 | building
盈创动力园区B座 | building
北京北站售票处 | building
The Gate | building
安外大楼 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Shangdi Residential Service Center | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | stream
Xiaoyue River | stream
Xiaoyue River | stream
Xiaoyue River | stream
Hanwang Building | building
<noname> | lake
国际软件大厦 | building
碱河 | stream
博大公园 | park
Sirteen 13 | building
马草河 | stream
清水湖 | lake
亦庄企业文化园 | park
<noname> | stream
新凤河 | stream
<noname> | lake
Liangshui River | stream
运潮减河 | stream
<noname> | stream
Wenyu River | stream
Ba River | stream
通惠河排干渠 | stream
大羊坊沟 | stream
方氏渠 | stream
<noname> | lake
北小河 | stream
National Aquatics Center | building
China Ethnic Museum | park
China Ethnic Culture Park | park
Jingshan Park | park
<noname> | stream
横街子沟 | stream
玉渊潭 | lake
<noname> | stream
Yuyuantan Park | park
八一湖 | lake
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
凤河 | stream
<noname> | stream
Queen Mother Xiao River | stream
南大沟灌渠 | stream
大龙河 | stream
双紫支渠 | stream
<noname> | lake
<noname> | lake
麦子店河 | stream
<noname> | lake
大柳树沟 | stream
横街子沟 | stream
<noname> | lake
<noname> | lake
萧太后河 | stream
萧太后河 | stream
九子河 | stream
<noname> | stream
<noname> | stream
玉带河 | stream
<noname> | lake
通惠河灌渠 | stream
通惠河灌渠 | stream
小中河 | stream
<noname> | lake
<noname> | lake
大羊坊沟 | stream
<noname> | lake
<noname> | lake
旱河 | stream
Beijing West Railway Station | building
Zizhuyuan Park | park
Shuangxiugong yuan | park
Taoranting Park | park
Dongdan Park | park
宣武艺园 | park
Taiyanggong Park | park
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | stream
Long Corridor | building
运河文化广场 | park
丰字沟 | stream
<noname> | lake
港澳中心 | building
绿园 | park
<noname> | park
Guanchouyuan Cafeteria | building
Changchun Xinyuan Sports Recreative Square | park
<noname> | lake
Khoo Teck Puat Gymnasium | building
搜狐网络大厦 | building
<noname> | building
WDK Shopping Center | building
Northern Territory | building
Auditorium | building
Future Internet Technology (FIT) | building
<noname> | building
<noname> | building
<noname> | building
中国农业银行大厦 | building
Jiango Garden | building
Beijing International Hotel | building
长安大戏院 | building
北京邮政公司 | building
<noname> | building
Beijing Hotel | building
PRC Ministry of Commerce | building
Silk Street Market | building
SK大厦 | building
安邦保险集团 | building
China World Hotel | building
China Merchants Bank | building
<noname> | building
China World Apartments South Lodge | building
<noname> | building
尚都国际中心 | building
国家电网总部 | building
中共中央组织部 | building
中国人保大厦 | building
北京民生银行大厦 | building
<noname> | building
凯晨世贸中心 | building
史各庄臭水沟 | stream
Wenyuhe Park | park
Longtan Park | park
Longtan Zhonghu Park | park
Sihuan Market | building
<noname> | building
Olympic Forest Park | park
窑洼公园 | park
Lianhuachi Park | park
Gangyuan Park | park
<noname> | park
Rome Lake | lake
<noname> | stream
龙道沟 | stream
outlets b | building
outlets c | building
outlets a | building
华腾新天地大厦 | building
<noname> | building
<noname> | building
<noname> | building
北京西动车所检修库 | building
人定湖公园 | park
East Glorious Gate | building
West Glorious Gate | building
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
銮驾库 | building
<noname> | building
<noname> | building
红本库 | building
实录库 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Cabinate Hall | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
南薰殿 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Qing Dynasty Annals | building
Jiyi Temple | building
<noname> | building
Pavillion of Literary Profundity | building
Gate of Glorious Writing | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
咸安门 | building
Gate of Brave Marial Arts | building
凝道殿 | building
梚章殿 | building
浴德堂 | building
小房9 | building
小房11 | building
小房8 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
城楼1 | building
城楼3 | building
<noname> | building
城楼4 | building
临溪亭 | building
咸若馆 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
慈荫楼 | building
吉云楼1 | building
宝相楼 | building
Archery Pavillion | building
<noname> | building
<noname> | building
上驷院 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
御茶膳房 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
戏衣库 | building
<noname> | building
<noname> | building
<noname> | building
碑亭 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
宝蕴楼 | building
小房1 | building
小房4 | building
小房2 | building
小房3 | building
小房5 | building
<noname> | building
<noname> | building
小房10 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
含清斋 | building
延寿堂 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Emperor temple | building
Palace of Tranquile Longevity | building
宁寿门 | building
<noname> | building
<noname> | building
<noname> | building
金银器馆 | building
珍宝馆 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
寿康宫 | building
后殿1 | building
<noname> | building
慈宁宫 | building
