====================
getFeatureName(i) getFeatureType(i)
Pyramid of Khafre | building
Great Pyramid of Giza | building
Egyptian Museum | building
Merryland | park
Geziret el Dahab | island
Terminal 2 | building
Al-Azhar Park | park
Hussein Mosque | building
Orman Botanical garden | park
Rhoda Island | island
Marriott Mena House Golf Course | golf course
Basilica Church Heliopolis | building
<noname> | park
International Park | park
Chillout | building
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
Jazirat Warraq al Hadar | island
Baron Empain Palace | building
Almaza Park | park
<noname> | park
Sultan Rifay Mosque | building
Sultan Hassan Mosque | building
<noname> | building
<noname> | park
Central Almaza | building
<noname> | park
Children Library Park | park
<noname> | park
جديقة العاشر من رمضان | park
Fish Park | park
Mohamed Ali Palace | park
<noname> | building
<noname> | park
<noname> | park
Terminal 1 | building
<noname> | park
<noname> | park
<noname> | park
حديقة ابن سندر | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | building
<noname> | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Scout Hotel | building
<noname> | park
<noname> | park
<noname> | park
حديقة الفردوس | park
<noname> | lake
<noname> | park
<noname> | park
Tereet Al-Ismailia | lake
Ministry of Irrigation | building
Katameya Heights Golf and Tennis Resort | golf course
Mariotya Canal | lake
<noname> | building
<noname> | building
<noname> | lake
<noname> | stream
Fostat garden | park
Rod al Farag Park | park
Cairo Gateway Plaza | building
<noname> | park
Mohammedi Park | park
Giza | building
New Qasr Al-Aini medical school educational hospital | building
Abu Al-Rish University Hospital for Children | building
Ministry of Interior | building
Mosque of Amr ibn al-As | building
Chaar Hachamaim Synagogue | building
Al-Mahkama Al-Dustureya | building
Arab League | building
Al-Tahera Palace | building
<noname> | park
Sultan Bebar Mosque | building
<noname> | stream
Zenein | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
El-Mobdi'een garden | park
