====================
getFeatureName(i) getFeatureType(i)
Elsieskraal River | stream
<noname> | lake
UCT Sports Centre | building
Raleigh Park | park
<noname> | stream
<noname> | stream
<noname> | building
Liesbeeck River | stream
Liesbeeck Canal | stream
Liesbeeck River | stream
Liesbeeck River | stream
Pinelands Municipal Offices | building
Choo Choo Park | park
Liesbeeck River | stream
<noname> | park
Pienaar Road Park | park
Milnerton Mall | building
Milpark | building
<noname> | park
<noname> | park
<noname> | park
<noname> | lake
<noname> | stream
Centre Point | building
Unitas Park | park
Lagoon Park | park
Camps Bay Beach | beach
Pringle Road Park | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
Metropolitan Golf Course | golf course
Lower Molteno Reservoir | lake
Molteno Reservoir | lake
<noname> | park
Mathematics Building | building
H W Pearson Building | building
Sarah Baartman Hall | building
Otto Beit Building | building
Hlanganani | building
Chancellor Oppenheimer Library | building
Jagger Library | building
Immelman Building | building
Arts Block | building
Beattie Building | building
Centlivres Building | building
Computer Science Building | building
John Day Zoology Building | building
R W James Building | building
Molecular Biology Building | building
Hampstead Park | park
Kenilworth Centre | building
Electrical & Mechanical Engineering Building | building
Menzies Building | building
Leslie Social Sciences Building | building
Leslie Commerce Building | building
Neville Alexander Building | building
Oppenheimer Institute | building
Kaplan Centre | building
Chemical Engineering Building | building
Educare Centre | building
Maintenance Building | building
Geological Sciences Building | building
Geological Sciences Extension Building | building
Chris Hani Lecture Theatre | building
Steve Biko Students' Union | building
Environmental & Geographical Science Building | building
Visitors Reception & Information | building
Wilfred & Jules Kramer Law Building | building
Baxter Theatre Center | building
Hoerikwaggo | building
Tygervalley Center | building
Bellville Velodrome | building
Tyger Waterfront | lake
Clovelly Country Club | golf course
Victoria Wharf Shopping Centre | building
Clock Tower Centre | building
<noname> | park
Liesbeeck River | stream
Black River | stream
Salt River | stream
<noname> | stream
<noname> | stream
Black River | stream
Black River | stream
Elsieskraal River | stream
<noname> | stream
<noname> | stream
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | park
<noname> | building
<noname> | park
<noname> | stream
<noname> | stream
<noname> | park
<noname> | stream
<noname> | stream
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | stream
<noname> | stream
<noname> | stream
Black River | stream
Cape Town City Hall | building
Summer House | building
Wynberg Park | park
Golf Driving Range | golf course
Diep River | stream
Diep River | stream
Diep River | stream
Diep River | stream
Diep River | stream
Diep River | stream
<noname> | stream
<noname> | stream
Intaka Island | park
<noname> | stream
<noname> | stream
<noname> | park
Alphen Common | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | stream
<noname> | park
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | park
Keurboom Park | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | building
<noname> | building
Grand Central Shopping Centre | building
Ricketts Str Park | park
McGuiness Street Park | park
Esperance Park | park
<noname> | stream
GrandWest Casino & Entertainment World | building
Elsieskraal River | stream
Elsieskraal River | stream
Elsieskraal River | stream
Elsieskraal River | stream
Elsieskraal River | stream
Elsieskraal River | stream
Elsieskraal River | stream
<noname> | lake
<noname> | park
<noname> | lake
<noname> | park
<noname> | lake
<noname> | park
<noname> | park
Good Hope Centre | building
Golden Arrow Bus Station | building
<noname> | park
<noname> | lake
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | lake
Michaelis School of Fine Art | building
Hiddingh Hall | building
Little Theatre | building
Quad Building | building
Egyptian Building | building
Bertram House | building
Bertram Place | building
Graphic Design Building | building
Boehringer Ingelheim Lung Institute | building
Anatomy Building | building
Falmouth Building | building
Braemar | building
Health Economics Unit | building
Wernher Beit South | building
Wernher Beit North | building
Wolfson Pavilion | building
Chris Barnard Building | building
Health Sciences Library | building
<noname> | building
<noname> | building
Leo Marquard Hall | building
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Iziko South African Museum | building
<noname> | stream
<noname> | park
<noname> | park
<noname> | lake
Breakwater Parking | building
<noname> | lake
<noname> | stream
<noname> | lake
<noname> | stream
<noname> | stream
<noname> | park
Silverstroom | building
Platteklip | building
Blinkwater | building
<noname> | park
<noname> | building
<noname> | stream
<noname> | stream
<noname> | park
<noname> | park
<noname> | park
<noname> | building
<noname> | building
Barnard Fuller Building | building
School of Dance | building
Child Guidance Clinic | building
Kilindini | building
JP Duminy Court | building
Glenres | building
College House | building
Burnage | building
Glenara | building
The Cottage | building
Woolsack Residence | building
Woolsack Residence | building
<noname> | building
<noname> | lake
<noname> | greenspace
<noname> | greenspace
Rondebosch Town Hall | building
Disa River | stream
Liesbeeck River | stream
Liesbeeck River | stream
Vygeboom Dam | lake
Durbanville Golf Club | golf course
Sonstraal Dam | lake
<noname> | park
<noname> | lake
<noname> | lake
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Kuils River | stream
Kuils River | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Valmary Park | park
Town Centre | building
<noname> | building
Durbanville Centre | building
<noname> | lake
<noname> | lake
Hely-Hutchinson Reservoir | lake
<noname> | stream
Woodhead Reservoir | lake
Victoria Reservoir | lake
<noname> | stream
Alexandra Reservoir | lake
<noname> | stream
De Villiers Dam | lake
<noname> | stream
<noname> | park
Kirstenbosch Dam | lake
Tennis Clubhouse | building
New Lecture Theatre | building
<noname> | building
Golden Acre | building
SITA House | building
Old Warehouse | building
Collingwood Building | building
Gate House | building
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | park
Black River Park Central Building | building
<noname> | building
MCSA Table Mountain Hut | building
CPMC Hut | building
The People's Trail Hut | building
Scouts hut | building
Waterworks Museum | building
Cavendish Square | building
Cavendish Connect | building
Standard Bank Galleria | building
<noname> | building
Stadium on Main | building
Werdmuller Centre | building
<noname> | stream
<noname> | stream
<noname> | park
Baviaanskloof River | stream
<noname> | park
<noname> | park
<noname> | park
<noname> | building
<noname> | stream
<noname> | lake
<noname> | stream
Princess Vlei | lake
<noname> | park
<noname> | stream
<noname> | stream
<noname> | stream
Albert Road Park | park
Lower Cable Station | building
Upper Cable Station | building
<noname> | park
<noname> | building
KFC | building
<noname> | building
<noname> | stream
Blue Route Mall | building
<noname> | park
<noname> | golf course
<noname> | lake
<noname> | park
<noname> | lake
<noname> | lake
CTP Printers | building
Majik Mall | building
<noname> | stream
Sandrivier | stream
<noname> | stream
<noname> | stream
<noname> | lake
Nursery Mews | building
Oak Glen | building
Rosedale | building
Central Building | building
Howard Centre | building
Amandel Dam | lake
Fynbos Dam | lake
<noname> | stream
<noname> | stream
S5 | lake
<noname> | stream
S8 | lake
S4 | lake
S3 | lake
S2 | lake
P3 | lake
P4 | lake
<noname> | lake
P2 | lake
P1 | lake
P5 | lake
P6 | lake
S1 | lake
T1 | lake
T2 | lake
<noname> | lake
P8 | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
M1 | lake
<noname> | lake
P7 | lake
M2 | lake
Park Island | park
<noname> | stream
Silvermine River | stream
Silvermine Dam | lake
Liesbeeck River | stream
Salt River Station | building
<noname> | stream
<noname> | stream
Cardiff Castle Building | building
De Waal Park | park
Lower De Waal Park | park
Trafalgar Park | park
Rondebosch Common | greenspace
Alma Park | park
<noname> | park
Rondebosch Park | park
Mayfield Park | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
Central Square | park
Juliana Veld | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
Maskew Miller Longman | building
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
<noname> | park
Arderne Gardens | park
