====================
getFeatureName(i) getFeatureType(i)
Fort Canning Park | park
Bedok Reservoir | lake
Pandan Reservoir | lake
Sarimbun Reservoir | lake
Jurong River | lake
<noname> | greenspace
Pang Sua Pond | lake
Little Guilin | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
Yishun Pond | lake
<noname> | stream
Singapore Wake Park | lake
<noname> | lake
<noname> | building
Jurong River | lake
<noname> | lake
Sungei Lanchar | lake
<noname> | building
<noname> | lake
Pandan River | lake
Pandan River | lake
Pandan River | lake
<noname> | lake
<noname> | lake
<noname> | lake
Punggol Park | park
<noname> | lake
<noname> | lake
<noname> | lake
<noname> | lake
Laguna National Golf & Country Club | golf course
East Coast Park (Zone C) | park
Marina Bay Golf Course | golf course
<noname> | building
Changi Airport Terminal 1 | building
<noname> | stream
<noname> | stream
<noname> | stream
Japanese Garden | island
Sim Lim Square | building
Ang Mo Kio Public Library | building
National Museum of Singapore | building
<noname> | building
728 | building
729 | building
Broadway Plaza | building
709 | building
<noname> | building
<noname> | building
Police Cantonment Complex | building
<noname> | building
<noname> | building
National Dental Centre Singapore | building
Paradise Island | island
Sentosa Golf Club Tanjong Course | golf course
Sentosa Golf Club | building
Serapong Lake | lake
Serapong Course | golf course
Compass One | building
Rivervale Plaza | building
Rivervale Mall | building
Hougang Mall | building
Sengkang Community Hub | building
Xinmin Secondary School | building
Xinmin Primary School | building
Masjid Al-Mawaddah | building
<noname> | building
Yishun Park | park
<noname> | lake
Island service Reservoir | lake
<noname> | lake
<noname> | lake
<noname> | lake
Heartland Mall | building
SBST Sengkang Depot | building
<noname> | building
Sengkang Fire Station | building
<noname> | building
<noname> | building
IMM | building
Nordic European Centre | building
<noname> | building
JTC Summit | building
Canossaville Children's Home | building
<noname> | lake
<noname> | building
St. James Power Station | building
<noname> | greenspace
Bedok Market Place | building
The Salvation Army Nursing Home | building
Courts Megastore | building
Giant Mega Tampines | building
Pasir Ris Town Park | park
<noname> | lake
<noname> | lake
<noname> | building
White Sands | building
Ren Ci Hospital | building
<noname> | stream
<noname> | lake
Sungei Simpang Kiri | lake
<noname> | stream
<noname> | stream
Tampines Quarry | lake
<noname> | building
<noname> | building
Sungei Pinang | lake
Punggol | building
Sengkang | building
JForté Sportainment Centre | building
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Masjid En-Naeem | building
Tanjong Beach | beach
610 | building
607 | building
620 | building
622 | building
624 | building
626 | building
601 | building
602 | building
603 | building
604 | building
605 | building
606 | building
608 | building
611 | building
609 | building
612 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
221 | building
220 | building
219 | building
218 | building
217 | building
222 | building
215 | building
214 | building
216 | building
213 | building
212 | building
211 | building
51@AMK | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Masjid Al-Muttaqin | building
Ang Mo Kio Town Garden East | park
<noname> | building
710A | building
Jubilee Square | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | stream
Djitsun Mall | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Bishan-Ang Mo Kio Park | park
Bishan-Ang Mo Kio Park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Ang Mo Kio Town Garden West | park
McDonald's | building
<noname> | building
<noname> | building
<noname> | stream
<noname> | stream
<noname> | stream
Singapore Island Country Club (Bukit & Sime courses) | golf course
Pearl's Hill City Park | park
Tan Boon Liat Building | building
Raffles City Shopping Centre | building
<noname> | building
Newton Food Centre | building
Domain of the Istana | park
Marina Barrage | river
Kandang Kerbau Women's and Children's Hospital | building
Siglap Drain | stream
Mapletree | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Shaw House | building
Orchard Central | building
Hilton Singapore Orchard | building
Palais Renaissance | building
Orchard Towers | building
Orchard RendezVous Hotel | building
Embassy of the United States of America | building
Grand Hyatt Hotel | building
Shangri-La Hotel | building
Istana | building
Anchorpoint | building
Queensway Shopping Centre | building
Alexandra Technopark Block A | building
Alexandra Technopark Block B | building
Four Seasons Hotel | building
<noname> | building
Cathay Cineleisure Orchard | building
SCAPE | building
4 | building
1 | building
<noname> | building
Changi Golf Club | golf course
<noname> | stream
Palawan Beach | beach
Siloso Beach | beach
<noname> | stream
Singapore Quarry | lake
Hindhede Quarry | lake
Bukit Timah Plaza | building
Cashew Crescent Fitness Corner | park
100AM | building
MAS Building | building
<noname> | building
<noname> | building
Parkway Parade | building
i12 Katong | building
Kent Ridge Pond | lake
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Cintech 2 | building
Cintech 1 | building
The Rutherford | building
The Chadwick & Curie | building
Cintech 3 | building
DSO National Laboratories | building
Thomson Reuters | building
Katong Plaza | building
Katong Shopping Centre | building
<noname> | building
<noname> | building
Odeon Katong Shopping Complex | building
<noname> | lake
<noname> | building
<noname> | building
<noname> | building
Chung Cheng Lake | lake
<noname> | lake
Woodlands Point (Closed) | building
Coastarina | building
<noname> | building
Carlton Hotel | building
Excelsior Hotel | building
Bras Basah Complex | building
InterContinental Singapore | building
National Library | building
People's Park Centre | building
State Courts | building
People's Park Complex | building
Havelock II | building
Hong Lim Park | park
Katong Park | park
<noname> | lake
<noname> | building
Wallace Information Centre | building
<noname> | building
<noname> | building
Jurong Hill Park | park
The Bible Church | building
<noname> | lake
Roxy Square | building
Riverside Point | building
Traders Market | building
Afro Asia Building | building
SGX Centre | building
<noname> | building
Lau Pa Sat | building
The Foundry | building
Orchard Plaza | building
Hotel Grand Central | building
Hotel Supreme | building
Holiday Inn Singapore Orchard City Centre | building
Concorde Hotel | building
<noname> | stream
Whampoa River | lake
Shell | building
Crescendo Building | building
Geylang River | lake
Cuppage Plaza | building
Centrepoint | building
Grand Park Orchard | building
OG Orchard Point | building
The Cathay | building
268 Orchard | building
Tong Building | building
Ngee Ann City | building
Scotts Square | building
Pacific Plaza | building
T Galleria | building
Shaw Centre | building
International Building | building
MacDonald House | building
Parklane Shopping Mall | building
School of Economics & School of Computing and Information Systems (2) | building
School of Computing and Information Systems 1 | building
Li Ka Shing Library | building
Hotel Rendezvous | building
GR.ID | building
Singapore Shopping Centre | building
9 Penang Road | building
YWCA Fort Canning Lodge | building
Haw Par Centre | building
Young Mens Christian Association | building
Istana Park | park
<noname> | lake
<noname> | building
<noname> | building
Sunshine Plaza | building
Fortune Centre | building
The Bencoolen | building
OG Albert Complex | building
Burlington Square | building
<noname> | building
Mandarin Oriental Hotel | building
<noname> | building
Singapore Recreation Club | building
Singapore Cricket Club | building
One Raffles Link | building
Supreme Court of Singapore | building
<noname> | building
SMRT Headquarters | building
Capitol Building | building
Capitol Singapore | building
Peninsula Plaza | building
Suntec City | building
Conrad Centennial | building
Suntec Tower 5 | building
Suntec Tower 1 | building
Suntec Tower 2 | building
Suntec Tower 3 | building
HSBC | building
Tung Centre | building
Asian Civilisations Museum | building
One Fullerton | building
The Fullerton Hotel | building
Clifford Centre | building
Singapore Land Tower | building
Old City Hall | building
Tanglin Place | building
Tanglin Mall | building
<noname> | building
Tanglin Shopping Centre | building
<noname> | building
<noname> | building
AFP Warehouse | building
HPE Alexandra Sales (HPAS) | building
<noname> | lake
Citilink Warehouse Complex | building
Habourlink | building
<noname> | building
<noname> | building
<noname> | lake
The Peak | building
DSO National Laboratories | building
HarbourLights | building
HarbourFront Centre | building
<noname> | building
55 | building
67 | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Mount Faber Lodge | building
Bedok 216 Hawker Centre | building
Geyland United FC | building
