====================
getFeatureName(i) getFeatureType(i)
Clark Island | park
<noname> | stream
Freshwater Beach | beach
Dee Why Beach | beach
Warriewood Beach | beach
Parramatta River | stream
Toongabbie Creek | stream
Ollie Webb Reserve | park
Duck River | stream
Cammeray Golf Course | golf course
Green Park | park
Milson Park | park
<noname> | park
The Australian Golf Club | golf course
Booralee Park | park
Camperdown Memorial Rest Park | park
Johnstons Creek | stream
Iron Cove Creek | stream
Fly Casting Pond | lake
Model Yacht Pond | lake
Kippax Lake | lake
Captain Cook Graving Dock | river
Easton Park | park
Phillip Park | park
Prince Alfred Park | park
Frog Hollow Reserve | park
Belmore Park | park
Redfern Park | park
Harbord Park | park
Long Reef Golf Course | golf course
Mona Vale Golf Course | golf course
Karl Brown Reserve | park
Asquith Golf Club | golf course
<noname> | lake
<noname> | lake
<noname> | lake
Scotts Creek | stream
Brennan Park | park
Parry Park | park
<noname> | lake
Royal Sydney Golf Club | golf course
Christison Park | park
Clarke Reservation | park
Parsley Bay Reserve | park
<noname> | beach
Robertson Park | park
Shark Beach | beach
Nielsen Park | park
Beach Paddock | park
Milk Beach | beach
Strickland House Estate | park
Steyne Park | park
Guilfoyle Park | park
Macquarie Place Park | park
Lang Park | park
First Fleet Park | park
Wynyard Park | park
Eve Street Wetlands | greenspace
Richard Murden Reserve | park
<noname> | park
Waitara Park | park
<noname> | lake
Prospect Creek | stream
Burns Creek | stream
Prospect Creek | stream
Orphan School Creek | stream
<noname> | lake
<noname> | lake
<noname> | lake
Georges River Golf Course | golf course
<noname> | lake
<noname> | stream
Bow Bowing Creek | stream
<noname> | stream
Bunburry Curran Creek | stream
Georges River | stream
Harris Creek | stream
<noname> | stream
<noname> | stream
Williams Creek | stream
<noname> | stream
Riverlands Golf Course (closed) | golf course
Georges River | stream
Kareela Playing Fields | park
Soldiers Road Oval | park
Carol Avenue Park | park
Primrose Park | park
Tunks Park | park
<noname> | beach
Wiley Park | park
Colson Crescent Reserve | park
Leighton Park | park
Clifton Gardens Reserve | park
St Leonards Park | park
St Thomas Rest Park | park
Keirle Park | park
Darling Mills Creek | stream
Eastern Creek | stream
Camdenville Park | park
Hunts Creek Reserve | park
<noname> | park
Rofe Park | greenspace
South Creek | stream
Green Park | park
Anzac Park | park
Wahroonga Park | park
Central Gardens | park
Rofe Park | park
Bayer Building | building
Arthur McElhone Reserve | park
Elizabeth Bay House | building
Fitzroy Gardens & Park | park
Rushcutters Bay Park | park
<noname> | stream
Sydney Olympic Park Aquatic Centre | building
Qudos Bank Arena | building
Rhodes Waterside Shopping Centre | building
Coonong Creek | stream
Propeller Park | park
Mills Park | park
Henley Park | park
<noname> | greenspace
Samuel King Park | park
Coot Island | greenspace
Salt Pan Creek | stream
Williams Creek | stream
Wurrungwuri Reserve | greenspace
<noname> | stream
Sydney Water Supply Tunnel | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
Sydney Water Supply Canal | stream
<noname> | stream
<noname> | building
Hornsby RSL | building
Carrington Park | park
