====================
getFeatureName(i) getFeatureType(i)
Laleh Park | park
Azadi Lake | lake
بوستان گلستان | park
آبنمای مرکزی | lake
هدیه | park
Nārvan Park | park
شبنم | park
<noname> | lake
Sa'i Park | park
Arghavan Park | park
بوستان میعاد | park
Tirazhe Shopping Center | building
<noname> | lake
<noname> | lake
Besat Park | park
<noname> | building
بوستان نصر | park
Tajrish River | stream
بوستان شقایق مهر | park
<noname> | stream
Farahzad River | stream
shahin | park
Darakeh River | stream
Tehran Vila Park | park
<noname> | stream
Ziba Park | park
بوستان هفده شهریور | park
میدان سعیدی | park
Amir Kabir Park | park
مسیل جاجرود | stream
<noname> | stream
Narges Park | park
Darakeh River | stream
Āmuzgār | park
Park Forough | park
بوستان اردکانی | park
بوستان ساحل | park
Parvaneh Park | park
Golbon Park | park
<noname> | stream
بوستان مریم | park
<noname> | park
بوستان مهتاب | park
<noname> | building
Mellat Cinema Complex | building
Shafagh Park | park
بوستان اوستا | park
Behesht Madaran Park | park
منبع آب | lake
Pardis Women's Park | park
<noname> | stream
Alvand Tower | building
بوستان سیدجمال‌الدین اسدآبادی | park
Class Halls | building
Jabbari Sport Complex | building
Azadi | park
Negin Park | park
3rd Golestan Park | park
Central Bank of Iran | building
ایستگاه آتش نشانی شماره ۱۱ | building
Saba Park | park
Negin | park
Golha Park | park
Nāhid Park | park
Banafsheh Park | park
ایستگاه ۲۴ آتش نشانی | building
Nastaran Park | park
Fruit And Vegetable Market | building
Janbazan Park | park
Faculty of Basic Sciences | building
بوستان نونهالان | park
Hyperstar Supermarket | building
Darakeh River | stream
Darakeh River | stream
<noname> | stream
Aseman airlines hangar | building
Darakeh River | stream
<noname> | building
Hesarak River | stream
Darakeh River | stream
Goldasht Park | park
Darakeh River | stream
Basafa 2 Park | park
Basafa 1 Park | park
Darakeh River | stream
Farsco Maintenance hangar | building
<noname> | park
Hesarak River | stream
Hesarak River | stream
Parnian Park | park
Darakeh River | stream
کلانتری ۱۶۸ سیزده آبان | building
دفتر پست و پیشخوان دولت | building
بوستان سیزده آبان | park
ایستگاه ۴۷ آتش نشانی | building
بوستان گلها | park
بوستان گلگون | park
Ofogh Park | park
بوستان آبان | park
منبع آب | lake
سلف سرویس پسران | building
دانشکده صنایع | building
دانشکده مواد،شیمی | building
دانشکده مهندسی خودرو | building
دانشکده برق | building
دانشکده راه‌آهن | building
دانشکده کامپیوتر | building
دانشکده فیزیک | building
دانشکده ریاضی | building
<noname> | park
دانشکده معارف | building
کتاب‌خانه مرکزی | building
دانشکده زبان | building
استخر | building
Nofel-lo Shato park | park
City Theatre | building
Faculty of literature and humanities | building
Central library of University of Tehran | building
Bahman Movie Theater | building
پلی کلینیک مرکز بهداشت و درمان دانشگاه تهران | building
Markazi Movie Theater | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Zafaranieh Plaza | building
Moayene Fanniye Khodro Niyayesh | building
Building Of West Terminal | building
<noname> | park
Moallem park | park
Iranshahr Park | park
Nonahalaan Park | park
Parvaz Park | park
Moallem Park | park
Sabā Park | park
Danesh Amooz Park | park
Zeytun Park | park
Manuchehri canal | stream
مسیل منوچهری | stream
مسیل منوچهری | stream
Manuchehri canal | stream
مسیل منوچهری | stream
مسیل منوچهری | stream
مسیل منوچهری | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل منوچهری | stream
Manuchehri canal | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
مسیل جاجرود | stream
Piroozi Park | park
<noname> | park
بوستان یاسمن | park
اداره کل راه‌آهن تهران | building
Abrisham Park | park
<noname> | building
<noname> | lake
بوستان امام هادی | park
<noname> | stream
<noname> | stream
Darakeh River | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Darakeh River | stream
Darakeh River | stream
<noname> | stream
<noname> | stream
بوستان تندرستی | park
Marzban Park | park
Shabnam Park | park
<noname> | park
بوستان ریحانه | park
پارک معلم قرآن | park
Shabnam Park | park
Shahed Park | park
Faraz Park | park
Niayesh Park | park
بوستان نیلوفر | park
بوستان چهارباغ غربی | park
بوستان چهارباغ شرقی | park
Kaji Garden Park | park
Darakeh River | stream
Darakeh River | stream
Darakeh River | stream
Darakeh River | stream
Darakeh River | stream
Darakeh River | stream
Darakeh River | stream
Darakeh River | stream
Esteghlal Park | park
بوستان ورزش | park
Sara Park | park
بوستان تربیت | park
Iran national library | building
Aghaghia Park | park
Seoul park | park
Shiraz park | park
Water and Fire Park | park
Faculty of Humanities and Physical excercises | building
Rose Park | park
Tavalod Park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
۱۹ | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
ایستگاه آتش نشانی هنگام | building
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Golzar Park | park
Modern Elahiyeh Shopping Center | building
Talash | building
Qahramani Pool | building
Elham park | park
Amir park | park
Shaghayegh park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
بوستان بهار آزادی | park
Ekhtarieh park | park
Soheil park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Qiasvand Canal | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Negar Park | park
Araj Park | park
بوستان سبز | park
بوستان سلامت | park
Delavaran Park | park
<noname> | building
Majed-al-Rasool Mosque | building
Ābšār Park | park
Modiriyat park | park
Molana Park | park
Pishkeswat park | park
بوستان ستایش | park
Shams Tabrizi Park | park
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
مسجد صاحب الزمان | building
Kaaj Multilevel Parking Garage | building
بوستان صدف | park
بوستان کوهستان | park
بوستان لادن | park
Saadat Park | park
Shokoufeh Park | park
Boostan Park | park
Tajrish River | stream
<noname> | stream
<noname> | stream
Tajrish River | stream
بوستان فتح | park
بوستان دکتر رهنمون | park
امامزاده علی اکبر | building
Behjatabad park | park
East Maryam Park | park
Honarmandan Park | park
Pezeshk park | park
West Maryam Park | park
فروشگاه سیسمونی مانیلو | building
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
<noname> | stream
Shariati Park | park
<noname> | building
<noname> | building
<noname> | building
Park-e Shahr | park
بوستان الغدیر | park
بوستان شهید کاظمی | park
مسجد جامع نارمک | building
Fadak Park | park
Sadaf park | park
کتابخانه مرکزی دانشگاه علم و صنعت ایران | building
منبع آب | park
وزارت فرهنگ و ارشاد اسلامی | building
سازمان برنامه و بودجه | building
<noname> | building
Police Park | park
بوستان پلیس | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | park
<noname> | building
<noname> | building
<noname> | park
<noname> | building
پارک شادی | park
Paydarfard | park
<noname> | park
<noname> | building
<noname> | building
<noname> | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Qeytarieh park | park
Azadegan Park | park
<noname> | park
بوستان نرگس | park
بوستان عقاب | park
Honar cultural center | building
<noname> | building
<noname> | park
مجمع خیرین مدرسه ساز استان تهران | building
<noname> | building
B | building
بوستان خزر | park
A | building
C | building
اداره کل تامین اجتماعی شرق تهران بزرگ | building
<noname> | park
بوستان امام جواد | park
بوستان امام خمینی | park
Shariati Park | park
Bahar Park | park
Shahid Kazemi Park | park
کارگاه مترو غرب | building
<noname> | park
بوستان نرگس | park
۱۹ | building
D2 | building
D1 | building
B3 | building
A5 | building
بوستان زنبق | park
Talebi Park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | park
<noname> | building
بوستان بهاره | park
Hesarak River | stream
بوستان مهسا | park
Hesarak River | stream
Hesarak River | stream
بوستان قرنفل | park
Hesarak River | stream
Hesarak River | stream
مرکز خرید بهاران | building
بوستان سرداران شهید | park
بوستان گلایل | park
Kan River | stream
Kan River | stream
Kan River | stream
Kan River | stream
Kan River | stream
Kan River | stream
Kan River | stream
Kan River | stream
Kan River | stream
Farahzad River | stream
Farahzad River | stream
Darakeh River | stream
Darakeh River | stream
Ibn Sina Building | building
Mathematical Sciences Department | building
Physics Department | building
Computer Engineering Department | building
Mosque | building
Central Library | building
<noname> | building
بوستان گیو | park
<noname> | park
بوستان فتاحی | park
بوستان گلبرگ | park
مجتمع تجاری پارسیان | building
بوستان محمدی | park
مسجد الاقصی | building
<noname> | park
بوستان یاس | park
بوستان شاهد | park
<noname> | building
<noname> | building
بوستان سحر | park
<noname> | park
بوستان نفت | park
پارک شهید محلاتی | park
بوستان سمیه | park
مسجد الرسول | building
بوستان فردوس | park
بوستان دهقان | park
بوستان شهید کرد | park
Vali Asr Park | park
Tamaddon park | park
Fereshteh Park | park
بوستان فردوس | park
Saba Park | park
بوستان جانبازان | park
Resalat Park | park
<noname> | building
Electrical Engineering Faculty | building
<noname> | building
Boostan Jolfa | park
Park Naji | park
<noname> | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Islamic Azad University Faculty of Psychology and Social Sciences Central Tehran Branch | building
<noname> | building
بوستان شقایق | park
بوستان دلیرمردان | park
Simorgh park | park
بازار میوه و تره‌بار مهر | building
<noname> | park
<noname> | building
<noname> | building
ایستگاه ۳۱ آتش نشانی زرکش | building
بوستان گل مریم | park
میدان ۹۰ | park
<noname> | park
<noname> | building
استخر بانوان قائم | building
<noname> | building
پارک شهدای جوان | park
محوطه نماز جمعه | building
Hajj and Pilgrimage Organization | building
<noname> | building
بوستان تسلیحات | park
بوستان گلبرگ | park
بوستان واثق | park
<noname> | building
Kowsar Park | park
بوستان معراج | park
بوستان گلزار | park
بوستان گل حسنی | park
بوستان صبا | park
سازمان بهزیستی کشور | building
<noname> | building
<noname> | building
Etka chain store | building
<noname> | building
Hekmat Iranian Shopping Center | building
بوستان آینه | park
مجموعه بانک ملت | building
مهمانسرای بانک ملت | building
مجموعه بانک ملت | building
<noname> | building
Chenaran Park | park
Terminal 4 | building
بوستان فردوس | park
Shamshiri Park | park
بوستان شمس تبریزی | park
بوستان یاس | park
بوستان شهرآرا | park
<noname> | greenspace
<noname> | building
<noname> | park
Bank Melli Hospital | building
Darakeh River | stream
Darakeh River | stream
Darakeh River | stream
<noname> | building
The New Sharif University Sport Complex | building
<noname> | park
بوستان یاس | park
<noname> | greenspace
<noname> | greenspace
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
بوستان صنوبر | park
<noname> | park
Pas Va Farhangian Park | park
Sarsabz Park | park
Yas Park | park
Hazrat-e Rasul | building
<noname> | park
Goldis Tower | building
<noname> | building
Aqaqiya Park | park
Kaj Park | park
<noname> | building
بازار موبایل ایران | building
Roftegar Park | park
Arghavan Park | park
Aqaqia Park | park
Basij park | park
Fath Park | park
Golha Park | park
Golsar Park | park
Solh Park | park
Somayeh Park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Danesh park | park
Samarqandi Park | park
بوستان گل واژه | park
مسجد ثامن الحجج | building
مسجد النبی | building
<noname> | building
<noname> | building
Darakeh River | stream
Darakeh River | stream
<noname> | building
بوستان نیلوفر | park
Rezvan Park | park
Moallem Park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | park
<noname> | park
<noname> | park
<noname> | park
Holy defence museum | building
West Portico | building
East Portico | building
SystemGroup | building
<noname> | park
بوستان شبیری | park
<noname> | building
<noname> | building
<noname> | building
معاونت نیروی انسانی ناجا | building
بوستان تهرانی | park
بوستان ناظمی | park
بوستان خانواده | park
بوستان نور | park
بوستان نور | park
بوستان صبا | park
بوستان هزار شهید | park
بوستان ۲۲ بهمن | park
Derafshifar Sports Complex | park
<noname> | park
بوستان معلم | park
Zamzam Park | park
Electrical Engineering Department | building
Dept. Electrical Engineering #2 | building
Electronic Research Center | building
<noname> | park
ابن‌سینا | park
<noname> | park
<noname> | park
<noname> | park
Industrial Engineering Department | building
Delgosha Park | park
<noname> | park
<noname> | park
بوستان گل گندم | park
<noname> | park
Civil Engineering Department | building
<noname> | park
President's Office | building
Vice-presidency for Research and Technology | building
ساختمان اداری دانشگاه | building
<noname> | park
Aerospace Engineering Department | building
<noname> | lake
<noname> | lake
Karaj Creek | stream
Information and Communication Technology Center | building
Center for Philosophy of Science | building
Khodro Building | building
Razzaghi park | park
Tarasht Park | park
Mechanical Engineering Department | building
<noname> | park
Chemical & Petroleum Engineering Department | building
Self Service Restaurant | building
Bank Melli Iran | building
Javanneh | park
Ghezel Ghal'e Park | park
Sharif Technology Services Complex | building
Advanced Industrial Systems research center | building
<noname> | greenspace
Golnaz | park
<noname> | greenspace
دانشکده مهندسی هوافضا | building
Gharanghol | park
<noname> | greenspace
<noname> | greenspace
Shahid Rezaei | building
Azizi park | park
Afraa Park | park
<noname> | park
Nastaran park | park
Mellat Park | park
Sedaghat Park | park
Armaghan Gharbi Park | park
Golha | park
Mahtab-Mahestan | park
بوستان آفتاب | park
Khashayar | park
Gole Sorkh | park
بوستان سنگی | park
بوستان کوشیار | park
Piroozan | park
بوستان علامه | park
<noname> | park
Doostan Park | park
Yasaman Park | park
traffic | park
بوستان فرهنگیان | park
بوستان شوراء | park
Mādar park | park
Pamchal | park
Arghavan | park
Avini park | park
Nezami-ye Ganjavi Park | park
Alaleh | park
<noname> | park
Derakhti | park
<noname> | park
<noname> | park
Shahrvand 1 | park
Matiran | building
Computer Engineering Department | building
