================
edges 545
nodes 480
0 0 1
1 1 2
2 2 3
3 4 5
4 6 7
5 8 9
6 9 10
7 10 11
8 6 8
9 8 12
10 13 14
11 14 15
12 15 16
13 16 17
14 18 19
15 19 20
16 20 21
17 22 23
18 23 24
19 17 25
20 26 27
21 27 28
22 28 29
23 30 26
24 31 32
25 43 44
26 45 46
27 47 48
28 48 49
29 52 53
30 53 54
31 56 57
32 57 58
33 58 59
34 59 60
35 60 61
36 60 62
37 62 63
38 64 65
39 66 67
40 67 61
41 68 67
42 69 70
43 70 64
44 71 72
45 12 72
46 65 63
47 73 74
48 75 76
49 76 77
50 75 78
51 7 81
52 81 82
53 82 83
54 84 85
55 85 86
56 86 81
57 87 88
58 90 91
59 92 93
60 94 95
61 95 96
62 96 92
63 97 5
64 5 98
65 98 99
66 99 100
67 100 101
68 101 102
69 102 103
70 103 104
71 104 105
72 105 106
73 106 107
74 107 108
75 108 109
76 110 111
77 112 113
78 119 120
79 120 121
80 121 122
81 122 123
82 123 124
83 124 125
84 125 126
85 126 127
86 127 128
87 129 130
88 130 121
89 132 133
90 133 134
91 105 135
92 137 114
93 114 138
94 139 140
95 140 141
96 141 142
97 142 143
98 143 144
99 142 145
100 145 146
101 146 147
102 148 149
103 112 149
104 150 151
105 152 153
106 153 154
107 155 156
108 156 157
109 157 158
110 158 159
111 159 160
112 161 162
113 162 163
114 164 165
115 167 168
116 168 169
117 169 170
118 172 173
119 173 174
120 175 174
121 176 177
122 178 179
123 179 180
124 180 181
125 181 182
126 182 183
127 183 184
128 184 185
129 185 186
130 187 137
131 137 188
132 188 175
133 190 191
134 192 193
135 193 194
136 194 195
137 195 196
138 196 197
139 199 200
140 200 201
141 201 202
142 202 203
143 203 204
144 204 205
145 205 206
146 206 207
147 208 209
148 210 171
149 171 211
150 211 212
151 212 213
152 215 216
153 217 218
154 218 219
155 219 220
156 220 221
157 221 222
158 223 224
159 199 225
160 203 226
161 226 227
162 228 229
163 230 223
164 231 232
165 232 233
166 233 234
167 236 237
168 237 217
169 197 238
170 238 239
171 240 241
172 20 21
173 21 230
174 231 242
175 236 244
176 244 213
177 178 245
178 245 246
179 246 247
180 248 209
181 229 249
182 249 192
183 192 244
184 250 251
185 251 252
186 253 254
187 254 255
188 255 256
189 256 257
190 257 258
191 258 227
192 88 259
193 262 263
194 264 265
195 266 267
196 267 268
197 269 270
198 270 173
199 271 272
200 273 274
201 274 275
202 275 276
203 276 239
204 269 277
205 153 279
206 279 280
207 280 281
208 283 282
209 282 284
210 285 54
211 54 272
212 286 277
213 287 264
214 288 180
215 188 172
216 289 233
217 232 289
218 175 290
219 290 189
220 189 291
221 292 293
222 293 285
223 294 292
224 292 295
225 296 297
226 297 298
227 297 300
228 303 304
229 305 306
230 291 307
231 307 308
232 308 309
233 291 303
234 303 305
235 310 68
236 56 311
237 312 90
238 314 315
239 315 316
240 316 262
241 262 317
242 317 288
243 318 319
244 319 320
245 320 176
246 176 169
247 169 263
248 321 322
249 323 320
250 321 324
251 324 325
252 325 326
253 326 327
254 328 329
255 329 330
256 330 331
257 331 160
258 157 335
259 335 337
260 337 338
261 338 336
262 336 339
263 339 334
264 334 340
265 83 87
266 87 341
267 341 80
268 80 342
269 342 79
270 79 35
271 35 34
272 34 343
273 343 33
274 33 38
275 38 37
276 37 36
277 36 44
278 44 39
279 39 32
280 32 344
281 344 77
282 77 42
283 42 40
284 40 41
285 41 29
286 29 345
287 345 265
288 265 346
289 346 22
290 150 347
291 337 348
292 350 351
293 351 352
294 352 353
295 353 354
296 355 356
297 356 357
298 358 359
299 359 360
300 360 361
301 361 362
302 17 363
303 363 364
304 22 365
305 366 367
306 368 14
307 14 48
308 49 369
309 370 346
310 15 369
311 369 372
312 16 365
313 285 166
314 166 55
315 55 313
316 313 52
317 52 51
318 51 323
319 323 177
320 177 170
321 170 186
322 186 314
323 314 263
324 263 247
325 247 373
326 373 374
327 374 375
328 375 210
329 210 327
330 327 376
331 376 349
332 349 377
333 377 354
334 354 239
335 239 224
336 224 378
337 378 242
338 242 164
339 370 25
340 49 46
341 74 341
342 379 73
343 276 380
344 205 385
345 385 386
346 386 382
347 381 383
348 383 386
349 384 227
350 256 388
351 388 389
352 389 387
353 216 228
354 228 249
355 109 390
356 390 391
357 391 24
358 398 399
359 399 400
360 400 397
361 397 198
362 198 235
363 400 394
364 235 395
365 395 396
366 396 59
367 160 402
368 402 151
369 151 302
370 302 301
371 301 152
372 152 299
373 299 296
374 296 300
375 300 214
376 214 161
377 161 164
378 332 403
379 403 357
380 357 362
381 362 404
382 404 405
383 405 298
384 298 234
385 234 18
386 18 11
387 197 406
388 406 407
389 407 408
390 410 411
391 411 212
392 220 415
393 415 416
394 217 207
395 207 393
396 393 191
397 191 401
398 401 225
399 225 419
400 412 420
401 420 377
402 420 417
403 417 418
404 165 419
405 421 190
406 13 47
407 47 266
408 266 268
409 268 422
410 422 45
411 11 259
412 259 423
413 97 4
414 4 116
415 116 117
416 117 110
417 5 131
418 131 132
419 132 0
420 0 118
421 118 424
422 424 136
423 136 425
424 425 113
425 113 138
426 138 148
427 148 139
428 139 115
429 115 119
430 119 278
431 278 261
432 261 174
433 12 71
434 71 89
435 89 312
436 312 91
437 91 93
438 93 97
439 72 69
440 378 409
441 409 243
442 243 19
443 316 317
444 365 368
445 368 13
446 426 203
447 388 427
448 287 345
449 364 372
450 372 294
451 294 284
452 284 428
453 428 50
454 50 285
455 172 175
456 363 430
457 430 25
458 213 413
459 413 414
460 414 260
461 245 322
462 45 431
463 431 429
464 429 367
465 237 432
466 432 421
467 367 371
468 195 215
469 255 433
470 208 333
471 333 332
472 24 392
473 311 358
474 434 406
475 209 435
476 435 250
477 408 434
478 434 378
479 167 168
480 319 436
481 436 53
482 271 436
483 181 179
484 374 437
485 438 439
486 439 440
487 440 309
488 309 441
489 441 442
490 442 443
491 443 444
492 440 445
493 445 441
494 442 444
495 438 446
496 446 447
497 448 449
498 449 439
499 450 447
500 447 451
501 451 452
502 452 453
503 453 448
504 448 450
505 446 443
506 444 438
507 451 454
508 455 456
509 456 457
510 457 458
511 458 459
512 309 445
513 445 438
514 460 457
515 461 453
516 452 460
517 458 461
518 449 462
519 462 462
520 428 464
521 464 293
522 308 465
523 466 467
524 467 468
525 466 455
526 455 469
527 469 470
528 470 471
529 472 471
530 473 465
531 465 473
532 23 391
533 82 474
534 107 187
535 456 459
536 459 470
537 267 422
538 472 475
539 222 476
540 476 240
541 241 463
542 416 477
543 477 478
544 479 134
